player_ids,price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_since_yesterday,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today
1,0,0,0,0,5430193,False,44,-52518
2,0,0,0,0,5430193,False,39,-7804
3,0,0,0,0,5430193,False,44,-6346
4,0,0,0,0,5430193,False,54,-7163
5,0,0,0,0,5430193,False,50,-1059204
6,0,0,0,0,5430193,False,71,-305739
8,0,0,0,0,5430193,False,80,107569
9,0,0,0,0,5430193,False,53,-9719
10,0,0,0,0,5430193,False,43,-4425
11,0,0,0,0,5430193,False,45,-10963
12,0,0,0,0,5430193,False,77,-800307
13,0,0,0,0,5430193,False,52,-25316
14,0,0,0,0,5430193,False,85,-729814
15,0,0,0,0,5430193,True,48,-28718
16,0,0,0,0,5430193,False,49,-5731
17,0,0,0,0,5430193,False,45,-1187088
18,0,0,0,0,5430193,False,40,-10130
19,0,0,0,0,5430193,False,91,337483
20,0,0,0,0,5430193,False,56,1712567
22,0,0,0,0,5430193,False,53,-11160
24,0,0,0,0,5430193,False,44,-25931
25,0,0,0,0,5430193,True,45,-8949
26,0,0,0,0,5430193,False,65,-385209
29,0,0,0,0,5430193,False,56,112834
30,0,0,0,0,5430193,False,60,-1218
31,0,0,0,0,5430193,False,52,353027
113,0,0,0,0,5430193,False,49,119232
540,0,0,0,0,5430193,False,54,-195327
578,0,0,0,0,5430193,False,48,-1320
585,0,0,0,0,5430193,True,46,-466969
646,0,0,0,0,5430193,False,40,657
735,0,0,0,0,5430193,False,45,170
736,0,0,0,0,5430193,False,40,958
737,0,0,0,0,5430193,False,45,140
764,0,0,0,0,5430193,False,45,21
772,0,0,0,0,5430193,False,45,22
32,0,0,0,0,5430193,False,51,148320
34,0,0,0,0,5430193,False,57,266986
35,0,0,0,0,5430193,True,57,-16361
36,0,0,0,0,5430193,False,47,809041
37,0,0,0,-1,5430193,False,38,-48153
38,0,0,0,0,5430193,False,58,-42917
39,0,0,0,0,5430193,False,49,-18169
40,0,0,0,0,5430193,False,49,-498
41,0,0,0,0,5430193,False,44,15889
42,0,0,0,0,5430193,True,46,127320
43,0,0,0,0,5430193,False,56,695231
44,0,0,0,0,5430193,True,50,3367
45,0,0,0,0,5430193,False,39,-5874
46,0,0,0,0,5430193,False,44,-2258
47,0,0,0,0,5430193,False,50,-3495
48,0,0,0,0,5430193,False,46,214664
49,0,0,0,0,5430193,False,52,412967
50,0,0,0,-1,5430193,False,55,115299
51,0,0,0,0,5430193,True,41,-1059768
53,0,0,0,0,5430193,False,39,-29722
54,0,0,0,0,5430193,False,45,-10767
55,0,0,0,0,5430193,False,59,-5891
56,0,0,0,0,5430193,False,45,-616
57,0,0,0,0,5430193,False,40,-372
58,0,0,0,0,5430193,False,56,-75215
59,0,0,0,0,5430193,False,50,-1945
60,0,0,0,-1,5430193,False,88,3044543
61,0,0,0,0,5430193,False,50,-782
584,0,0,0,0,5430193,True,47,146355
599,0,0,0,0,5430193,False,66,175449
618,0,0,0,0,5430193,False,45,-739
670,0,0,0,0,5430193,False,40,862
672,0,0,0,0,5430193,False,54,1227
686,0,0,0,0,5430193,False,40,923
699,0,0,0,0,5430193,False,45,9530
765,0,0,0,0,5430193,False,40,121
767,0,0,0,0,5430193,False,45,78
778,0,0,0,0,5430193,False,40,48
793,0,0,0,0,5430193,False,40,1
62,0,0,0,0,5430193,False,49,-11154
63,0,0,0,0,5430193,False,52,-41271
64,0,0,0,0,5430193,False,47,-5003
65,0,0,0,0,5430193,False,50,2907
66,0,0,0,0,5430193,False,50,-1393
67,0,0,0,0,5430193,False,45,-392
68,0,0,0,0,5430193,True,43,-1617
69,0,0,0,0,5430193,False,40,-15278
70,0,0,0,0,5430193,False,45,-505
71,0,0,0,0,5430193,False,43,-2065
72,0,0,0,0,5430193,False,46,-13001
73,0,0,0,0,5430193,False,49,-1179
74,0,0,0,0,5430193,False,43,-285
75,0,0,0,0,5430193,False,43,-4581
76,0,0,0,0,5430193,False,46,-28810
77,0,0,0,0,5430193,False,46,242564
78,0,0,0,0,5430193,False,47,-4103
79,0,0,0,0,5430193,False,45,-109
80,0,0,0,0,5430193,False,40,-19281
81,0,0,0,0,5430193,False,48,-1043
82,0,0,0,0,5430193,False,45,71257
83,0,0,0,0,5430193,False,45,296893
84,0,0,0,0,5430193,False,44,7742
85,0,0,0,0,5430193,False,71,2447521
86,0,0,0,0,5430193,False,54,58812
87,0,0,0,0,5430193,False,47,-1503
88,0,0,0,0,5430193,False,40,-8758
89,0,0,0,0,5430193,False,44,6685
595,0,0,0,0,5430193,False,44,-8367
607,0,0,0,0,5430193,False,44,-3983
619,0,0,0,0,5430193,False,40,-1693
643,0,0,0,0,5430193,True,44,-1809
