player_ids,price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_name
1,,0,-8,0,5134547,False,44,-52829,Balogun
2,,0,-17,0,5134547,False,39,-8791,Cédric
3,,0,-4,0,5134547,False,44,-6480,M.Elneny
4,,0,-3,0,5134547,False,54,-7280,Fábio Vieira
5,,36485,19168,1,5134547,False,51,-853400,Gabriel
6,,0,-151,0,5134547,False,71,-312853,Havertz
7,,0,-10,0,5134547,True,43,-10159,Holding
8,,0,-3752,0,5134547,False,79,-33033,G.Jesus
9,,0,-22,0,5134547,False,53,-9577,Jorginho
10,,0,274,0,5134547,False,43,-2534,Kiwior
11,,0,-2,0,5134547,False,45,-11009,Marquinhos
12,,0,-2064,0,5134547,False,77,-816735,Martinelli
13,,0,-655,0,5134547,False,52,-66222,Nketiah
14,,0,-2864,0,5134547,False,84,-977936,Ødegaard
15,,0,-7,0,5134547,True,48,-28881,Thomas
16,,0,0,0,5134547,False,49,-5760,Pepe
17,,0,-660,0,5134547,False,45,-1202081,Ramsdale
18,,0,-5,0,5134547,False,40,-10253,Rúnarsson
19,,0,606,0,5134547,False,90,160263,Saka
20,,0,7705,0,5134547,False,56,1571691,Saliba
21,,0,11,0,5134547,False,49,-104,Sambi
22,,0,-28,0,5134547,False,53,-11147,Smith Rowe
23,,0,60,0,5134547,False,40,-8387,Tavares
24,,0,-4,0,5134547,False,44,-26003,Tierney
25,,0,-46,0,5134547,False,45,-9708,Tomiyasu
26,,0,1398,0,5134547,False,65,-376421,Trossard
27,,0,-222,0,5134547,False,39,112594,Trusty
28,,0,-541,0,5134547,False,39,-112142,Turner
29,,0,-210,0,5134547,False,56,44161,White
30,,0,-1,0,5134547,False,60,-1224,Xhaka
31,,-11413,-11413,-1,5134547,False,51,207053,Zinchenko
32,,0,724,0,5134547,False,51,237575,Alex Moreno
33,,0,3029,0,5134547,False,43,-29612,Archer
34,,0,-105,0,5134547,False,56,255857,Bailey
35,,0,-1,0,5134547,True,57,-16372,Buendia
36,,0,-3810,0,5134547,False,46,674064,Cash
37,,0,2358,0,5134547,False,38,-15090,Chambers
38,,0,-4,0,5134547,False,58,-43018,Coutinho
39,,0,-4,0,5134547,False,49,-18282,Davis
40,,0,-12,0,5134547,False,49,-1204,Dendoncker
41,,0,256,0,5134547,False,44,20495,Diego Carlos
42,,0,-127,0,5134547,False,46,86820,Digne
43,,0,4378,0,5134547,False,55,619344,Douglas Luiz
44,,0,-64,0,5134547,True,50,1367,Duran
45,,0,6,0,5134547,False,39,-6125,Hause
46,,0,1,0,5134547,False,44,-2245,Iroegbunam
47,,0,-97,0,5134547,True,50,-3423,Kamara
48,,-6667,-3812,-1,5134547,True,45,92628,Konsa
49,,0,-1391,0,5134547,False,52,430562,Martinez
50,,0,-771,0,5134547,False,55,97817,McGinn
51,,0,-76,0,5134547,True,41,-1061658,Mings
52,,0,-171,0,5134547,True,44,-73542,Nakamba
53,,0,8,0,5134547,False,39,-30242,Olsen
54,,0,-1,0,5134547,False,45,-10833,Philogene
55,,0,22,0,5134547,False,59,-5770,J.Ramsey
56,,0,0,0,5134547,False,45,-620,Sanson
57,,0,0,0,5134547,False,40,-381,Sinisalo
58,,0,-39,0,5134547,False,56,-74541,Tielemans
59,,0,-4,0,5134547,False,50,-1982,Bertrand Traoré
60,,-61717,-31022,-1,5134547,False,87,2703746,Watkins
61,,0,0,0,5134547,False,50,-787,Wesley
62,,0,0,0,5134547,False,49,-11194,Anthony
63,,0,-197,0,5134547,False,52,-48237,Billing
64,,0,-29,0,5134547,False,47,-5896,Brooks
65,,0,0,0,5134547,False,50,2258,Christie
66,,0,-2,0,5134547,False,50,-1337,L.Cook
67,,0,0,0,5134547,False,45,-392,Siriki
68,,0,0,0,5134547,True,43,-1602,Fredericks
69,,0,-10,0,5134547,True,40,-15502,Hill
70,,0,-10,0,5134547,False,45,300,Kelly
71,,0,-25,0,5134547,False,43,-2728,Kilkenny
72,,0,-212,0,5134547,False,46,-14353,Kluivert
73,,0,0,0,5134547,False,49,-1187,Lowe
74,,0,-16,0,5134547,False,43,-677,Marcondes
75,,0,-5,0,5134547,False,43,-4588,Mepham
76,,0,-81,0,5134547,False,46,-30700,Moore
77,,0,-1162,0,5134547,False,46,237490,Neto
78,,0,6,0,5134547,False,47,-4072,O.Dango
79,,0,0,0,5134547,False,45,-110,Pearson
80,,0,-20,0,5134547,False,40,-19810,Randolph
81,,0,-2,0,5134547,False,48,-1123,Rothwell
82,,0,-47,0,5134547,False,45,50954,Semenyo
83,,0,852,0,5134547,False,45,292342,Senesi
84,,0,-86,0,5134547,False,44,7199,Smith
85,,-55528,-30717,-1,5134547,False,69,1900636,Solanke
86,,0,-717,0,5134547,False,54,41418,Tavernier
87,,0,-1,0,5134547,False,47,-1537,Hamed Traorè
88,,0,-1,0,5134547,False,40,-8599,Travers
89,,0,-127,0,5134547,False,44,7758,Zabarnyi
90,,0,11,0,5134547,False,44,-12227,Ajer
91,,0,-12,0,5134547,False,39,-6433,Balcombe
92,,0,46,0,5134547,False,43,-210133,Baptiste
93,,0,-6,0,5134547,False,40,-13445,Bech
94,,0,0,0,5134547,False,45,-133,Bidstrup
95,,0,0,0,5134547,False,50,-3537,Canós
96,,0,561,0,5134547,False,45,5453,Collins
97,,0,0,0,5134547,False,40,-536,Cox
98,,0,10,0,5134547,False,48,-8010,Damsgaard
99,,0,-6,0,5134547,True,47,-9661,Dasilva
100,,0,0,0,5134547,False,45,-838,Dervişoğlu
101,,0,3611,0,5134547,False,45,80150,Flekken
102,,0,-66,0,5134547,False,39,-679,Goode
103,,0,-69,0,5134547,True,43,-171717,Henry
104,,0,-17,0,5134547,True,44,-19495,Hickey
105,,0,145,0,5134547,False,53,-2059,Janelt
106,,0,1073,0,5134547,False,54,-7602,Jensen
107,,0,7,0,5134547,False,47,3081,Lewis-Potter
108,,0,-1212,0,5134547,True,68,-442248,Mbeumo
109,,0,1511,0,5134547,False,48,-421792,Mee
110,,0,601,0,5134547,False,53,-1754,Nørgaard
111,,0,2,0,5134547,False,49,-473,Onyeka
112,,0,755,0,5134547,False,46,99353,Pinnock
113,,0,2923,0,5134547,False,49,117835,Raya
114,,0,52,0,5134547,False,44,87,Roerslev
115,,0,-1,0,5134547,True,52,-7579,Schade
116,,0,-358,0,5134547,False,39,122738,Strakosha
117,,0,12162,1,5134547,False,82,795424,Toney
118,,0,0,0,5134547,False,45,-1700,Trevitt
119,,0,-822,0,5134547,False,56,-250915,Wissa
120,,0,148,0,5134547,False,43,-26403,Yarmoliuk
121,,0,0,0,5134547,False,43,-4046,Zanka
122,,0,-37,0,5134547,False,50,-3062,Adingra
123,,0,-2,0,5134547,False,44,-10624,Alzate
124,,0,-2,0,5134547,False,45,-4572,Ayari
125,,0,28,0,5134547,False,47,-94,Buonanotte
126,,0,8,0,5134547,False,45,-204273,Caicedo
127,,0,0,0,5134547,False,45,-3895,Connolly
128,,0,-14,0,5134547,False,48,-10601,Dahoud
129,,0,68,0,5134547,False,50,-163789,Dunk
130,,0,-14,0,5134547,True,50,-339559,Enciso
131,,-13558,-7237,-1,5134547,False,50,-2357506,Estupiñan
132,,0,-270,0,5134547,False,58,-237447,Ferguson
133,,0,-36,0,5134547,False,49,11131,Gilmour
134,,0,3745,0,5134547,False,64,180058,Gross
135,,0,-16663,0,5134547,True,54,-1449293,João Pedro
136,,0,-1,0,5134547,False,40,-2386,Karbownik
137,,0,0,0,5134547,False,45,-131,Kozłowski
138,,0,6,0,5134547,False,49,-3866,Lallana
139,,0,3520,0,5134547,False,39,-273356,Lamptey
140,,0,-163,0,5134547,True,61,-220476,March
141,,0,-8,0,5134547,False,39,-849,McGill
142,,0,-30,0,5134547,True,48,-14724,Milner
143,,0,142,0,5134547,False,64,-2448447,Mitoma
144,,0,8,0,5134547,False,44,-3302,Moder
145,,0,-1254,0,5134547,False,45,-72341,Sanchez
146,,0,-1,0,5134547,False,45,-1576,Sarmiento
147,,0,0,0,5134547,False,40,-34,Scherpen
148,,0,727,0,5134547,False,42,-321772,Steele
149,,0,0,0,5134547,False,55,-4470,Undav
150,,0,2152,0,5134547,False,40,165055,Van Hecke
151,,0,2,0,5134547,False,43,-69469,Veltman
152,,0,-9,0,5134547,False,44,-15716,Verbruggen
153,,0,4,0,5134547,False,42,-17631,Webster
154,,0,943,0,5134547,False,57,-169609,Welbeck
155,,0,-40,0,5134547,False,44,-78319,Zeqiri
156,,0,425,0,5134547,False,42,5913,Agyei
157,,0,3477,0,5134547,False,38,108419,Al-Dakhil
158,,0,0,0,5134547,False,49,-2356,Bastien
159,,0,2,0,5134547,False,52,-13753,Benson
160,,0,-400,0,5134547,False,40,-305642,Beyer
161,,0,-55,0,5134547,False,47,-8152,Brownhill
162,,0,-3,0,5134547,False,44,-2542,Churlinov
163,,0,3,0,5134547,False,48,-1977,Cork
164,,0,-1,0,5134547,False,45,-2815,Costelloe
165,,0,-1,0,5134547,False,50,-3306,Cullen
166,,0,-66,0,5134547,False,39,-1024,Egan-Riley
167,,0,-1,0,5134547,False,39,-11522,Ekdal
168,,0,-202,0,5134547,False,47,1186,Foster
169,,0,-36,0,5134547,False,39,-4124,Franchi
170,,0,-5,0,5134547,False,48,-2850,Gudmundsson
171,,0,0,0,5134547,False,40,-1760,McNally
172,,0,0,0,5134547,False,43,-15762,Muric
173,,0,76,0,5134547,False,44,-2145,O'Shea
174,,0,-5,0,5134547,False,49,-3324,Obafemi
175,,0,0,0,5134547,False,40,-1057,Peacock-Farrell
176,,0,-43,0,5134547,False,43,-17355,Roberts
177,,0,-24,0,5134547,False,53,-12111,Rodriguez
178,,0,-1598,0,5134547,False,40,312950,Taylor
179,,0,-1,0,5134547,False,40,-1387,Thomas
180,,0,0,0,5134547,False,49,-2569,Twine
181,,0,-11,0,5134547,False,39,1456,Vigouroux
182,,0,-5,0,5134547,False,44,-5911,Vitinho
183,,0,0,0,5134547,False,55,-14969,Weghorst
184,,0,-5,0,5134547,False,46,-10625,Zaroury
185,,0,-1,0,5134547,False,40,-921,Ampadu
186,,0,-35,0,5134547,False,42,-7156,Andrey
187,,0,-6,0,5134547,False,50,-83059,Arrizabalaga
188,,0,0,0,5134547,False,65,-2013,Aubameyang
189,,0,0,0,5134547,False,45,-100,Azpilicueta
190,,0,-1,0,5134547,False,40,-290,Baba
191,,0,-92,0,5134547,False,44,1116,B.Badiashile
192,,0,7,0,5134547,False,40,-463,Bettinelli
193,,0,20,0,5134547,False,49,12651,Broja
194,,0,14,0,5134547,False,43,-16231,Chalobah
195,,0,-263,0,5134547,False,54,-1018823,Chilwell
196,,0,2544,0,5134547,False,42,-129339,Chukwuemeka
197,,0,-2061,0,5134547,False,47,74218,Colwill
198,,0,-44,0,5134547,True,48,-31781,Cucurella
199,,0,295,0,5134547,False,48,-214511,Enzo
200,,0,672,0,5134547,False,50,8978,D.D.Fofana
201,,0,-1,0,5134547,True,44,-2497,W.Fofana
202,,0,717,0,5134547,False,54,-9127,Gallagher
203,,0,-571,0,5134547,False,42,495484,Gusto
204,,0,-20,0,5134547,False,43,-10310,Hall
205,,0,511,0,5134547,False,47,7753,Hudson-Odoi
206,,0,-342,0,5134547,True,53,-1250906,James
