price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_ids,player_name
,0,0,0,4989933,False,44,-52937,1,Balogun
,0,0,0,4989933,False,39,-9046,2,Cédric
,0,0,0,4989933,False,44,-6454,3,M.Elneny
,0,0,0,4989933,False,54,-7321,4,Fábio Vieira
,0,0,1,4989933,False,52,-524849,5,Gabriel
,0,0,0,4989933,False,71,-312236,6,Havertz
,0,0,0,4989933,False,78,-66467,8,G.Jesus
,0,0,0,4989933,False,53,-9657,9,Jorginho
,0,0,0,4989933,False,43,6648,10,Kiwior
,0,0,0,4989933,False,45,-11020,11,Marquinhos
,0,0,0,4989933,False,77,-830601,12,Martinelli
,0,0,0,4989933,False,51,-72248,13,Nketiah
,0,0,0,4989933,False,84,-967563,14,Ødegaard
,0,0,0,4989933,True,48,-28937,15,Thomas
,0,0,0,4989933,False,49,-5770,16,Pepe
,0,0,0,4989933,False,45,-1208243,17,Ramsdale
,0,0,0,4989933,False,40,-10313,18,Rúnarsson
,0,0,0,4989933,False,90,262999,19,Saka
,0,0,1,4989933,False,57,1721708,20,Saliba
,0,0,0,4989933,False,53,-11320,22,Smith Rowe
,0,0,0,4989933,False,44,-26026,24,Tierney
,0,0,0,4989933,False,45,-10076,25,Tomiyasu
,0,0,0,4989933,False,65,-347440,26,Trossard
,0,0,0,4989933,False,56,63012,29,White
,0,0,0,4989933,False,60,-1225,30,Xhaka
,0,0,0,4989933,False,51,104658,31,Zinchenko
,0,0,0,4989933,False,50,163854,113,Raya
,0,0,0,4989933,False,54,-153341,540,Rice
,0,0,0,4989933,False,48,-1307,578,Nelson
,0,0,0,4989933,True,46,-467471,585,J.Timber
,0,0,0,4989933,False,40,698,646,Hein
,0,0,0,4989933,False,45,109,735,Sagoe
,0,0,0,4989933,False,40,1255,736,Walters
,0,0,0,4989933,False,45,54,737,Ibrahim
,0,0,0,4989933,False,45,132,764,Lewis-Skelly
,0,0,0,4989933,False,45,81,772,Nwaneri
,0,0,0,4989933,False,45,30,815,Bandeira
,0,0,0,4989933,False,40,21,817,Sweet
,0,0,0,4989933,False,51,275811,32,Alex Moreno
,0,0,0,4989933,False,56,258172,34,Bailey
,0,0,0,4989933,True,57,-16372,35,Buendia
,0,0,0,4989933,False,46,666734,36,Cash
,0,0,0,4989933,False,38,11830,37,Chambers
,0,0,0,4989933,False,58,-43049,38,Coutinho
,0,0,0,4989933,False,49,-18318,39,Davis
,0,0,0,4989933,False,49,-1313,40,Dendoncker
,0,0,0,4989933,True,44,5432,41,Diego Carlos
,0,0,0,4989933,False,46,88285,42,Digne
,0,0,0,4989933,False,55,657585,43,Douglas Luiz
,0,0,0,4989933,True,50,1015,44,Duran
,0,0,0,4989933,False,39,-6025,45,Hause
,0,0,0,4989933,False,44,-2216,46,Iroegbunam
,0,0,0,4989933,True,50,-3996,47,Kamara
,0,0,0,4989933,True,45,53985,48,Konsa
,0,0,0,4989933,False,52,444029,49,Martinez
,0,0,0,4989933,False,55,91032,50,McGinn
,0,0,0,4989933,True,41,-1062370,51,Mings
,0,0,0,4989933,False,39,-30172,53,Olsen
,0,0,0,4989933,False,45,-10845,54,Philogene
,0,0,0,4989933,False,59,-5290,55,J.Ramsey
,0,0,0,4989933,False,45,-622,56,Sanson
,0,0,0,4989933,False,40,-382,57,Sinisalo
,0,0,0,4989933,False,56,-74272,58,Tielemans
,0,0,0,4989933,False,50,-1998,59,Bertrand Traoré
,0,0,0,4989933,False,87,2493415,60,Watkins
,0,0,0,4989933,False,50,-788,61,Wesley
,0,0,0,4989933,False,46,63554,584,Pau
,0,0,0,4989933,False,64,-33852,599,Diaby
,0,0,0,4989933,False,45,-725,618,Kellyman
,0,0,0,4989933,False,40,533,670,Marschall
,0,0,0,4989933,False,54,803,672,Zaniolo
,0,0,0,4989933,False,40,737,686,Zych
,0,0,0,4989933,False,45,19783,699,Lenglet
,0,0,0,4989933,False,40,322,765,Proctor
,0,0,0,4989933,False,45,150,767,O'Reilly
,0,0,0,4989933,False,40,209,778,Wright
,0,0,0,4989933,False,40,473,793,Kesler-Hayden
,0,0,0,4989933,False,50,353,803,Rogers
,0,0,0,4989933,False,40,10,818,Gauci
,0,0,0,4989933,False,49,-11207,62,Anthony
,0,0,0,4989933,False,52,-49875,63,Billing
,0,0,0,4989933,False,47,-6046,64,Brooks
,0,0,0,4989933,False,50,2114,65,Christie
,0,0,0,4989933,False,50,-1371,66,L.Cook
,0,0,0,4989933,False,45,-392,67,Siriki
,0,0,0,4989933,True,43,-1596,68,Fredericks
,0,0,0,4989933,True,40,-15597,69,Hill
,0,0,0,4989933,False,45,307,70,Kelly
,0,0,0,4989933,False,43,-2965,71,Kilkenny
,0,0,0,4989933,False,46,-15839,72,Kluivert
,0,0,0,4989933,False,49,-1188,73,Lowe
,0,0,0,4989933,False,43,-810,74,Marcondes
,0,0,0,4989933,False,43,-4597,75,Mepham
,0,0,0,4989933,False,46,-31223,76,Moore
,0,0,0,4989933,False,46,229656,77,Neto
,0,0,0,4989933,False,47,-4069,78,O.Dango
,0,0,0,4989933,False,45,-110,79,Pearson
,0,0,0,4989933,False,40,-20010,80,Randolph
,0,0,0,4989933,False,48,-1134,81,Rothwell
,0,0,0,4989933,False,45,52694,82,Semenyo
,0,0,0,4989933,False,45,311698,83,Senesi
,0,0,0,4989933,False,44,6724,84,Smith
,0,0,0,4989933,False,69,1641820,85,Solanke
,0,0,0,4989933,False,54,35337,86,Tavernier
,0,0,0,4989933,False,47,-1556,87,Hamed Traorè
,0,0,0,4989933,False,40,-8543,88,Travers
,0,0,0,4989933,False,44,7004,89,Zabarnyi
,0,0,0,4989933,False,44,-9195,595,Kerkez
,0,0,0,4989933,False,44,-4093,607,Radu
,0,0,0,4989933,False,40,-3567,619,Greenwood
,0,0,0,4989933,True,44,-2773,643,Aarons
,0,0,0,4989933,False,49,1160,644,Scott
,0,0,0,4989933,True,49,46,673,Adams
,0,0,0,4989933,False,55,2507,705,Sinisterra
,0,0,0,4989933,False,50,30,799,Faivre
,0,0,0,4989933,False,40,320,802,Kinsey-Wellings
,0,0,0,4989933,False,50,897,804,Enes Ünal
,0,0,0,4989933,False,45,75,811,Sadi
,0,0,0,4989933,False,44,-11991,90,Ajer
,0,0,0,4989933,False,39,-6566,91,Balcombe
,0,0,0,4989933,False,43,-209114,92,Baptiste
,0,0,0,4989933,False,40,-13496,93,Bech
,0,0,0,4989933,False,45,-133,94,Bidstrup
,0,0,0,4989933,False,50,-3540,95,Canós
,0,0,0,4989933,False,45,10209,96,Collins
,0,0,0,4989933,False,40,-538,97,Cox
,0,0,0,4989933,False,48,-7914,98,Damsgaard
,0,0,0,4989933,True,47,-9697,99,Dasilva
,0,0,0,4989933,False,45,-840,100,Dervişoğlu
,0,0,0,4989933,False,45,134097,101,Flekken
,0,0,0,4989933,False,39,-1386,102,Goode
,0,0,0,4989933,True,43,-172529,103,Henry
,0,0,0,4989933,True,44,-19611,104,Hickey
,0,0,0,4989933,False,53,-1232,105,Janelt
,0,0,0,4989933,False,54,544,106,Jensen
,0,0,0,4989933,False,47,2969,107,Lewis-Potter
,0,0,0,4989933,True,68,-452793,108,Mbeumo
,0,0,0,4989933,False,48,-404315,109,Mee
,0,0,0,4989933,False,53,2172,110,Nørgaard
,0,0,0,4989933,False,49,-399,111,Onyeka
,0,0,0,4989933,True,46,90071,112,Pinnock
,0,0,0,4989933,False,44,932,114,Roerslev
,0,0,0,4989933,True,52,-7594,115,Schade
,0,0,0,4989933,False,39,117829,116,Strakosha
,0,0,0,4989933,False,82,945165,117,Toney
,0,0,0,4989933,False,45,-1704,118,Trevitt
,0,0,0,4989933,False,56,-249089,119,Wissa
,0,0,0,4989933,False,43,-23791,120,Yarmoliuk
,0,0,0,4989933,False,43,-4024,121,Zanka
,0,0,0,4989933,False,49,34016,258,Maupay
,0,0,0,4989933,False,44,126576,508,Reguilón
,0,0,0,4989933,False,45,-350,620,Olakigbe
,0,0,0,4989933,False,45,475,684,Brierley
,0,0,0,4989933,False,45,2243,701,Ghoddos
,0,0,0,4989933,False,40,864,725,Kim Ji-Soo
,0,0,0,4989933,False,40,1704,733,Adedokun
,0,0,0,4989933,False,45,9,744,Peart-Harris
,0,0,0,4989933,False,40,518,752,Angelini
,0,0,0,4989933,False,40,234,789,Valdimarsson
,0,0,0,4989933,False,40,401,797,Fredrick
,0,0,0,4989933,False,50,13618,122,Adingra
,0,0,0,4989933,False,44,-10652,123,Alzate
,0,0,0,4989933,False,45,-4577,124,Ayari
,0,0,0,4989933,False,47,981,125,Buonanotte
,0,0,0,4989933,False,45,-3905,127,Connolly
,0,0,0,4989933,False,48,-10689,128,Dahoud
,0,0,0,4989933,False,50,-127978,129,Dunk
,0,0,0,4989933,True,50,-339691,130,Enciso
,0,0,0,4989933,False,50,-2379981,131,Estupiñan
,0,0,0,4989933,False,58,-238220,132,Ferguson
,0,0,0,4989933,False,49,10784,133,Gilmour
,0,0,0,4989933,False,64,239835,134,Gross
,0,0,0,4989933,True,53,-1589358,135,João Pedro
,0,0,0,4989933,False,40,-2396,136,Karbownik
,0,0,0,4989933,False,45,-131,137,Kozłowski
,0,0,0,4989933,False,49,-3872,138,Lallana
,0,0,0,4989933,False,39,-233430,139,Lamptey
,0,0,0,4989933,True,61,-221680,140,March
,0,0,0,4989933,False,39,-1064,141,McGill
,0,0,0,4989933,True,48,-14938,142,Milner
,0,0,0,4989933,False,64,-2435737,143,Mitoma
,0,0,0,4989933,False,44,-3297,144,Moder
,0,0,0,4989933,False,45,-1581,146,Sarmiento
,0,0,0,4989933,False,40,-35,147,Scherpen
,0,0,0,4989933,False,42,-315787,148,Steele
,0,0,0,4989933,False,55,-4471,149,Undav
,0,0,1,4989933,False,41,202504,150,Van Hecke
,0,0,0,4989933,False,43,-69427,151,Veltman
,0,0,0,4989933,False,44,-15120,152,Verbruggen
,0,0,0,4989933,False,42,-17524,153,Webster
,0,0,0,4989933,False,57,-157649,154,Welbeck
,0,0,0,4989933,False,44,-78682,155,Zeqiri
,0,0,0,4989933,False,43,-5426,606,Igor
,0,0,0,4989933,True,45,9512,621,Hinshelwood
,0,0,0,4989933,False,45,3232,690,Baleba
,0,0,0,4989933,False,64,12623,700,Ansu Fati
,0,0,0,4989933,False,45,1462,741,O’Mahony
,0,0,0,4989933,False,45,275,742,Baker-Boaitey
,0,0,0,4989933,False,40,1475,746,Jackson
,0,0,0,4989933,False,44,199,747,Duffus
,0,0,0,4989933,False,40,264,753,Kavanagh
,0,0,0,4989933,False,45,100,755,Barrington
,0,0,0,4989933,False,45,47,786,Peupion
