price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_name
0,0,0,0,4584448,False,44,-53232,Balogun
0,0,0,0,4584448,False,38,-5823,Cédric
0,0,0,0,4584448,False,44,-6659,M.Elneny
0,0,0,0,4584448,False,54,-7345,Fábio Vieira
0,0,0,0,4584448,False,53,-75749,Gabriel
0,0,0,1,4584448,False,72,-165129,Havertz
0,0,0,0,4584448,True,43,-10455,Holding
0,0,0,0,4584448,False,78,-84728,G.Jesus
0,0,0,0,4584448,False,53,-9763,Jorginho
0,0,0,1,4584448,False,44,139196,Kiwior
0,0,0,0,4584448,False,45,-11070,Marquinhos
0,0,0,0,4584448,False,77,-869155,Martinelli
0,0,0,0,4584448,False,51,-96666,Nketiah
0,0,0,0,4584448,False,85,-690022,Ødegaard
0,0,0,0,4584448,False,48,-29029,Thomas
0,0,0,0,4584448,False,49,-5807,Pepe
0,0,0,0,4584448,False,45,-1215035,Ramsdale
0,0,0,0,4584448,False,40,-10515,Rúnarsson
-1,0,0,0,4584448,False,92,722832,Saka
0,0,0,0,4584448,False,58,1970294,Saliba
0,0,0,0,4584448,False,49,-772,Sambi
0,0,0,0,4584448,False,53,-11492,Smith Rowe
0,0,0,0,4584448,True,40,-6494,Tavares
0,0,0,0,4584448,False,44,-26108,Tierney
0,0,0,0,4584448,False,45,-11658,Tomiyasu
0,0,0,0,4584448,False,65,-337105,Trossard
0,0,0,0,4584448,False,39,96726,Trusty
0,0,0,0,4584448,False,39,-236334,Turner
0,0,0,1,4584448,False,57,245223,White
0,0,0,0,4584448,False,60,-1227,Xhaka
0,0,0,0,4584448,False,50,-148686,Zinchenko
0,0,0,0,4584448,False,52,349454,Alex Moreno
0,0,0,0,4584448,True,42,-197309,Archer
0,0,0,0,4584448,False,57,423246,Bailey
0,0,0,0,4584448,True,57,-16386,Buendia
0,0,0,0,4584448,False,46,681189,Cash
0,0,0,0,4584448,False,38,24065,Chambers
0,0,0,0,4584448,False,58,-43156,Coutinho
0,0,0,0,4584448,False,49,-18442,Davis
0,0,0,0,4584448,False,49,-1505,Dendoncker
0,0,0,0,4584448,False,44,-12737,Diego Carlos
0,0,0,0,4584448,False,46,119460,Digne
0,0,0,0,4584448,False,57,1194413,Douglas Luiz
0,0,0,0,4584448,False,50,206,Duran
0,0,0,0,4584448,False,39,-6448,Hause
0,0,0,0,4584448,False,44,-2241,Iroegbunam
0,0,0,0,4584448,True,50,-4795,Kamara
0,0,0,0,4584448,False,45,20721,Konsa
0,0,0,0,4584448,False,53,461295,Martinez
0,0,0,0,4584448,False,54,70855,McGinn
0,0,0,0,4584448,True,41,-1064660,Mings
0,0,0,0,4584448,True,43,-79979,Nakamba
0,0,0,0,4584448,False,39,-31920,Olsen
0,0,0,0,4584448,False,45,-10916,Philogene
0,0,0,0,4584448,False,59,-5113,J.Ramsey
0,0,0,0,4584448,False,45,-627,Sanson
0,0,0,0,4584448,False,40,-389,Sinisalo
0,0,0,0,4584448,False,56,-73344,Tielemans
0,0,0,0,4584448,False,50,-2035,Bertrand Traoré
0,0,0,0,4584448,False,90,3322863,Watkins
0,0,0,0,4584448,False,50,-792,Wesley
0,0,0,0,4584448,False,49,-11269,Anthony
0,0,0,0,4584448,False,51,-48655,Billing
0,0,0,0,4584448,False,47,-6373,Brooks
0,0,0,0,4584448,False,50,3349,Christie
0,0,0,0,4584448,False,50,20728,L.Cook
0,0,0,0,4584448,False,45,-394,Siriki
0,0,0,0,4584448,True,43,-1618,Fredericks
0,0,0,0,4584448,True,40,-15874,Hill
0,0,0,0,4584448,True,45,-460,Kelly
0,0,0,0,4584448,False,43,-3482,Kilkenny
0,0,0,0,4584448,False,46,54344,Kluivert
0,0,0,0,4584448,False,49,-1200,Lowe
0,0,0,0,4584448,False,43,-1101,Marcondes
0,0,0,0,4584448,False,43,-991,Mepham
0,0,0,0,4584448,False,46,-32439,Moore
0,0,0,0,4584448,False,47,585887,Neto
0,0,0,0,4584448,False,47,-3816,O.Dango
0,0,0,0,4584448,False,45,-111,Pearson
0,0,0,0,4584448,False,40,-21203,Randolph
0,0,0,0,4584448,False,48,-1178,Rothwell
0,0,0,0,4584448,False,45,152394,Semenyo
0,0,0,0,4584448,True,46,316674,Senesi
0,0,0,0,4584448,False,44,71783,Smith
0,0,0,0,4584448,False,72,2955270,Solanke
0,0,0,1,4584448,False,55,167141,Tavernier
0,0,0,0,4584448,False,47,-1581,Hamed Traorè
0,0,0,0,4584448,False,40,-8716,Travers
0,0,0,0,4584448,False,45,404616,Zabarnyi
0,0,0,0,4584448,False,44,-7253,Ajer
0,0,0,0,4584448,False,39,-7111,Balcombe
0,0,0,0,4584448,False,43,-215710,Baptiste
0,0,0,0,4584448,False,40,-13666,Bech
0,0,0,0,4584448,False,45,-134,Bidstrup
0,0,0,0,4584448,False,50,-3553,Canós
0,0,0,0,4584448,False,45,27328,Collins
0,0,0,0,4584448,False,40,-551,Cox
0,0,0,0,4584448,False,48,-7997,Damsgaard
0,0,0,0,4584448,True,47,-9752,Dasilva
0,0,0,0,4584448,False,45,-850,Dervişoğlu
0,0,0,0,4584448,False,45,165688,Flekken
0,0,0,0,4584448,False,39,-2861,Goode
0,0,0,0,4584448,True,43,-174531,Henry
0,0,0,0,4584448,True,44,-19996,Hickey
0,0,0,0,4584448,False,53,-1530,Janelt
0,0,0,0,4584448,False,54,-9474,Jensen
0,0,0,0,4584448,False,47,1916,Lewis-Potter
0,0,0,0,4584448,True,67,-475796,Mbeumo
0,0,0,0,4584448,True,48,-452673,Mee
0,0,0,0,4584448,False,53,-1801,Nørgaard
0,0,0,0,4584448,False,49,122,Onyeka
0,0,0,0,4584448,True,45,-41585,Pinnock
0,0,0,0,4584448,False,50,118225,Raya
0,0,0,0,4584448,False,44,25195,Roerslev
0,0,0,0,4584448,True,52,-7668,Schade
0,0,0,0,4584448,False,39,104288,Strakosha
0,0,0,0,4584448,False,81,854030,Toney
0,0,0,0,4584448,False,45,-1714,Trevitt
