player_ids,player_ids,player_ids.2,price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_since_yesterday,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_ids.1,player_name
1,1,1,0,0,-25,0,5273881,False,44,-52611,1,Balogun
2,2,2,0,0,-65,0,5273881,False,39,-8218,2,Cédric
3,3,3,0,0,-16,0,5273881,False,44,-6436,3,M.Elneny
4,4,4,0,0,-11,0,5273881,False,54,-7201,4,Fábio Vieira
5,5,5,0,0,5428,0,5273881,False,50,-1035241,5,Gabriel
6,6,6,0,0,-356,0,5273881,False,71,-309874,6,Havertz
7,7,7,0,0,-15,0,5273881,True,43,-9980,7,Holding
8,8,8,0,0,-6148,0,5273881,False,80,94046,8,G.Jesus
9,9,9,0,0,-1,0,5273881,False,53,-9758,9,Jorginho
10,10,10,0,0,37,0,5273881,False,43,-4499,10,Kiwior
11,11,11,0,0,-6,0,5273881,False,45,-10972,11,Marquinhos
12,12,12,0,0,1809,0,5273881,False,77,-832012,12,Martinelli
13,13,13,0,0,-3395,0,5273881,False,52,-41594,13,Nketiah
14,14,14,0,0,-10146,0,5273881,False,85,-858292,14,Ødegaard
15,15,15,0,0,-12,0,5273881,True,48,-28768,15,Thomas
16,16,16,0,0,-2,0,5273881,False,49,-5738,16,Pepe
17,17,17,0,0,-945,0,5273881,False,45,-1191248,17,Ramsdale
18,18,18,0,0,-4,0,5273881,False,40,-10168,18,Rúnarsson
19,19,19,0,0,-1711,0,5273881,False,90,225649,19,Saka
20,20,20,0,0,-7711,0,5273881,False,56,1602254,20,Saliba
21,21,21,0,0,21,0,5273881,False,49,-585,21,Sambi
22,22,22,0,0,8,0,5273881,False,53,-11003,22,Smith Rowe
23,23,23,0,0,-2,0,5273881,False,40,-9013,23,Tavares
24,24,24,0,0,-4,0,5273881,False,44,-25953,24,Tierney
25,25,25,0,0,-52,0,5273881,True,45,-9417,25,Tomiyasu
26,26,26,0,0,-113,0,5273881,False,65,-389475,26,Trossard
27,27,27,0,0,-713,0,5273881,False,39,117033,27,Trusty
28,28,28,0,0,-1498,0,5273881,False,39,-87529,28,Turner
29,29,29,0,0,-3885,0,5273881,False,56,73468,29,White
30,30,30,0,0,0,0,5273881,False,60,-1219,30,Xhaka
31,31,31,0,0,4086,0,5273881,False,52,374619,31,Zinchenko
32,32,32,0,0,13235,0,5273881,False,51,148757,32,Alex Moreno
33,33,33,0,0,-6022,0,5273881,False,43,-2765,33,Archer
34,34,34,0,0,3395,0,5273881,False,56,256855,34,Bailey
35,35,35,0,0,-7,0,5273881,True,57,-16352,35,Buendia
36,36,36,0,0,-10743,0,5273881,False,47,772563,36,Cash
37,37,37,0,0,1151,0,5273881,False,38,-41882,37,Chambers
38,38,38,0,0,-8,0,5273881,False,58,-42943,38,Coutinho
39,39,39,0,0,-9,0,5273881,False,49,-18205,39,Davis
40,40,40,0,0,-53,0,5273881,False,49,-850,40,Dendoncker
41,41,41,0,0,734,0,5273881,False,44,12766,41,Diego Carlos
42,42,42,0,0,-2317,0,5273881,False,46,109253,42,Digne
43,43,43,0,0,-959,0,5273881,False,56,634041,43,Douglas Luiz
44,44,44,0,0,-182,0,5273881,True,50,2628,44,Duran
45,45,45,0,0,-21,0,5273881,False,39,-6014,45,Hause
46,46,46,0,0,2,0,5273881,False,44,-2257,46,Iroegbunam
47,47,47,0,0,38,0,5273881,False,50,-3377,47,Kamara
48,48,48,0,0,-1279,0,5273881,False,46,222613,48,Konsa
49,49,49,0,0,5872,0,5273881,False,52,427711,49,Martinez
50,50,50,0,0,1085,0,5273881,False,55,103191,50,McGinn
51,51,51,0,0,-120,0,5273881,True,41,-1060406,51,Mings
52,52,52,0,0,-313,0,5273881,True,44,-69770,52,Nakamba
53,53,53,0,0,-39,0,5273881,False,39,-29953,53,Olsen
54,54,54,0,0,-10,0,5273881,False,45,-10790,54,Philogene
55,55,55,0,0,-18,0,5273881,False,59,-5875,55,J.Ramsey
56,56,56,0,0,0,0,5273881,False,45,-616,56,Sanson
57,57,57,0,0,-1,0,5273881,False,40,-373,57,Sinisalo
58,58,58,0,0,156,0,5273881,False,56,-75124,58,Tielemans
59,59,59,0,0,1,0,5273881,False,50,-1923,59,Bertrand Traoré
60,60,60,0,0,21134,0,5273881,False,88,2975308,60,Watkins
61,61,61,0,0,-1,0,5273881,False,50,-782,61,Wesley
62,62,62,0,0,-3,0,5273881,False,49,-11170,62,Anthony
63,63,63,0,0,-314,0,5273881,False,52,-42420,63,Billing
64,64,64,0,0,-78,0,5273881,False,47,-5391,64,Brooks
65,65,65,0,0,-9,0,5273881,False,50,2850,65,Christie
66,66,66,0,0,-4,0,5273881,False,50,-1386,66,L.Cook
67,67,67,0,0,0,0,5273881,False,45,-392,67,Siriki
68,68,68,0,0,4,0,5273881,True,43,-1616,68,Fredericks
69,69,69,0,0,-19,0,5273881,True,40,-15356,69,Hill
70,70,70,0,0,36,0,5273881,False,45,-169,70,Kelly
71,71,71,0,0,-26,0,5273881,False,43,-2112,71,Kilkenny
72,72,72,0,0,-45,0,5273881,False,46,-14474,72,Kluivert
73,73,73,0,0,-1,0,5273881,False,49,-1182,73,Lowe
74,74,74,0,0,-27,0,5273881,False,43,-421,74,Marcondes
75,75,75,0,0,1,0,5273881,False,43,-4589,75,Mepham
76,76,76,0,0,-104,0,5273881,False,46,-28997,76,Moore
77,77,77,0,0,-445,0,5273881,False,46,243496,77,Neto
78,78,78,0,0,-1,0,5273881,False,47,-4118,78,O.Dango
79,79,79,0,0,0,0,5273881,False,45,-109,79,Pearson
80,80,80,0,0,-28,0,5273881,False,40,-19491,80,Randolph
81,81,81,0,0,-5,0,5273881,False,48,-1072,81,Rothwell
82,82,82,0,0,-1606,0,5273881,False,45,61534,82,Semenyo
83,83,83,0,0,-1520,0,5273881,False,45,296202,83,Senesi
84,84,84,0,0,-36,0,5273881,False,44,7424,84,Smith
85,85,85,0,0,-36640,0,5273881,False,71,2535857,85,Solanke
86,86,86,0,0,-1216,0,5273881,False,54,53160,86,Tavernier
87,87,87,0,0,-3,0,5273881,False,47,-1516,87,Hamed Traorè
88,88,88,0,0,-4,0,5273881,False,40,-8737,88,Travers
89,89,89,0,0,62,0,5273881,False,44,6740,89,Zabarnyi
90,90,90,0,0,20,0,5273881,False,44,-12364,90,Ajer
91,91,91,0,0,-13,0,5273881,False,39,-6278,91,Balcombe
92,92,92,0,0,-277,0,5273881,False,43,-208959,92,Baptiste
93,93,93,0,0,-14,0,5273881,False,40,-13314,93,Bech
94,94,94,0,0,0,0,5273881,False,45,-133,94,Bidstrup
95,95,95,0,0,-1,0,5273881,False,50,-3530,95,Canós
96,96,96,0,0,-10,0,5273881,False,45,1814,96,Collins
97,97,97,0,0,-1,0,5273881,False,40,-528,97,Cox
98,98,98,0,0,14,0,5273881,False,48,-8158,98,Damsgaard
99,99,99,0,0,10,0,5273881,False,47,-9601,99,Dasilva
100,100,100,0,0,-1,0,5273881,False,45,-829,100,Dervişoğlu
101,101,101,0,0,-304,0,5273881,False,45,32708,101,Flekken
102,102,102,0,0,-154,0,5273881,False,39,669,102,Goode
103,103,103,0,0,-130,0,5273881,True,43,-170213,103,Henry
104,104,104,0,0,-24,0,5273881,True,44,-19184,104,Hickey
105,105,105,0,0,19,0,5273881,False,53,-3123,105,Janelt
106,106,106,0,0,316,0,5273881,False,54,-17731,106,Jensen
107,107,107,0,0,-39,0,5273881,False,47,3824,107,Lewis-Potter
108,108,108,0,0,-2638,0,5273881,True,68,-419115,108,Mbeumo
109,109,109,0,0,943,0,5273881,False,48,-440750,109,Mee
110,110,110,0,0,3,0,5273881,False,53,-6510,110,Nørgaard
111,111,111,0,0,-4,0,5273881,True,49,-426,111,Onyeka
112,112,112,0,0,-757,0,5273881,False,46,100949,112,Pinnock
