player_ids,player_ids,price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_since_yesterday,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_ids.1,player_name
1,1,0,0,-53,0,5276526,False,44,-52636,1,Balogun
2,2,0,0,-121,0,5276526,False,39,-8283,2,Cédric
3,3,0,0,-4,0,5276526,False,44,-6452,3,M.Elneny
4,4,0,0,-15,0,5276526,False,54,-7212,4,Fábio Vieira
5,5,0,0,15249,0,5276526,False,50,-1029813,5,Gabriel
6,6,0,0,-505,0,5276526,False,71,-310230,6,Havertz
7,7,0,0,-45,0,5276526,True,43,-9995,7,Holding
8,8,0,0,-32195,0,5276526,False,80,87898,8,G.Jesus
9,9,0,0,82,0,5276526,False,53,-9759,9,Jorginho
10,10,0,0,235,0,5276526,False,43,-4462,10,Kiwior
11,11,0,0,-8,0,5276526,False,45,-10978,11,Marquinhos
12,12,0,0,12647,0,5276526,False,77,-830203,12,Martinelli
13,13,0,0,-6839,0,5276526,False,52,-44989,13,Nketiah
14,14,0,0,-28708,0,5276526,False,85,-868438,14,Ødegaard
15,15,0,0,-27,0,5276526,True,48,-28780,15,Thomas
16,16,0,0,-7,0,5276526,False,49,-5740,16,Pepe
17,17,0,0,-2227,0,5276526,False,45,-1192193,17,Ramsdale
18,18,0,0,-12,0,5276526,False,40,-10172,18,Rúnarsson
19,19,0,0,-799,0,5276526,False,90,223938,19,Saka
20,20,0,0,-16071,0,5276526,False,56,1594543,20,Saliba
21,21,0,0,53,0,5276526,False,49,-564,21,Sambi
22,22,0,0,-28,0,5276526,False,53,-10995,22,Smith Rowe
23,23,0,0,75,0,5276526,False,40,-9015,23,Tavares
24,24,0,0,-8,0,5276526,False,44,-25957,24,Tierney
25,25,0,0,-39,0,5276526,True,45,-9469,25,Tomiyasu
26,26,0,0,1348,0,5276526,False,65,-389588,26,Trossard
27,27,0,0,-1106,0,5276526,False,39,116320,27,Trusty
28,28,0,0,-4198,0,5276526,False,39,-89027,28,Turner
29,29,0,0,-6407,0,5276526,False,56,69583,29,White
30,30,0,0,-1,0,5276526,False,60,-1219,30,Xhaka
31,31,0,0,-26771,0,5276526,False,52,378705,31,Zinchenko
32,32,0,0,28174,0,5276526,False,51,161992,32,Alex Moreno
33,33,0,0,-9701,0,5276526,False,43,-8787,33,Archer
34,34,0,0,705,0,5276526,False,56,260250,34,Bailey
35,35,0,0,-4,0,5276526,True,57,-16359,35,Buendia
36,36,-1,0,-18245,0,5276526,False,47,761820,36,Cash
37,37,0,0,3463,0,5276526,False,38,-40731,37,Chambers
38,38,0,0,-16,0,5276526,False,58,-42951,38,Coutinho
39,39,0,0,-13,0,5276526,False,49,-18214,39,Davis
40,40,0,0,-84,0,5276526,False,49,-903,40,Dendoncker
41,41,0,0,1652,0,5276526,False,44,13500,41,Diego Carlos
42,42,0,0,-5379,0,5276526,False,46,106936,42,Digne
43,43,0,0,-9237,0,5276526,False,56,633082,43,Douglas Luiz
44,44,0,0,-308,0,5276526,True,50,2446,44,Duran
45,45,0,0,-49,0,5276526,False,39,-6035,45,Hause
46,46,0,0,0,0,5276526,False,44,-2255,46,Iroegbunam
47,47,0,0,47,0,5276526,False,50,-3339,47,Kamara
48,48,0,0,-16644,0,5276526,False,46,221334,48,Konsa
49,49,0,0,7431,0,5276526,False,52,433583,49,Martinez
50,50,0,0,410,0,5276526,False,55,104276,50,McGinn
