price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_ids,player_name
,0,0,0,5281103,False,44,-52695,1,Balogun
,0,0,0,5281103,False,39,-8415,2,Cédric
,0,0,0,5281103,False,44,-6458,3,M.Elneny
,0,0,0,5281103,False,54,-7231,4,Fábio Vieira
,0,0,0,5281103,False,50,-1011903,5,Gabriel
,0,0,0,5281103,False,71,-310826,6,Havertz
,0,0,0,5281103,False,80,51388,8,G.Jesus
,0,0,0,5281103,False,53,-9661,9,Jorginho
,0,0,0,5281103,False,43,-4195,10,Kiwior
,0,0,0,5281103,False,45,-10986,11,Marquinhos
,0,0,0,5281103,False,77,-815965,12,Martinelli
,0,0,0,5281103,False,52,-52724,13,Nketiah
,0,0,-1,5281103,False,84,-901640,14,Ødegaard
,0,0,0,5281103,True,48,-28813,15,Thomas
,0,0,0,5281103,False,49,-5748,16,Pepe
,0,0,0,5281103,False,45,-1194739,17,Ramsdale
,0,0,0,5281103,False,40,-10186,18,Rúnarsson
,0,0,0,5281103,False,90,221110,19,Saka
,0,0,0,5281103,False,56,1575778,20,Saliba
,0,0,0,5281103,False,53,-11025,22,Smith Rowe
,0,0,0,5281103,False,44,-25967,24,Tierney
,0,0,0,5281103,False,45,-9514,25,Tomiyasu
,0,0,0,5281103,False,65,-388104,26,Trossard
,0,0,0,5281103,False,56,62145,29,White
,0,0,0,5281103,False,60,-1220,30,Xhaka
,0,0,0,5281103,False,52,347611,31,Zinchenko
,0,0,0,5281103,False,49,100709,113,Raya
,0,0,0,5281103,False,54,-207613,540,Rice
,0,0,0,5281103,False,48,-1347,578,Nelson
,0,0,0,5281103,True,46,-467131,585,J.Timber
,0,0,0,5281103,False,40,656,646,Hein
,0,0,0,5281103,False,45,159,735,Sagoe
,0,0,0,5281103,False,40,1031,736,Walters
,0,0,0,5281103,False,45,105,737,Ibrahim
,0,0,0,5281103,False,45,46,764,Lewis-Skelly
,0,0,0,5281103,False,45,30,772,Nwaneri
,0,0,0,5281103,False,51,193585,32,Alex Moreno
,0,0,0,5281103,False,56,260784,34,Bailey
,0,0,0,5281103,True,57,-16361,35,Buendia
,0,0,-1,5281103,False,46,740903,36,Cash
,0,0,0,5281103,False,38,-36719,37,Chambers
,0,0,0,5281103,False,58,-42970,38,Coutinho
